ID,Date,Currency,php_exchange_rate
3,"1978-01-03 00:00:00","US Dollar",7.37
4,"1978-01-04 00:00:00","US Dollar",7.37
5,"1978-01-05 00:00:00","US Dollar",7.37
6,"1978-01-06 00:00:00","US Dollar",7.37
9,"1978-01-09 00:00:00","US Dollar",7.3705
10,"1978-01-10 00:00:00","US Dollar",7.3705
11,"1978-01-11 00:00:00","US Dollar",7.3705
12,"1978-01-12 00:00:00","US Dollar",7.371
13,"1978-01-13 00:00:00","US Dollar",7.3715
16,"1978-01-16 00:00:00","US Dollar",7.3715
17,"1978-01-17 00:00:00","US Dollar",7.3715
19,"1978-01-19 00:00:00","US Dollar",7.372
20,"1978-01-20 00:00:00","US Dollar",7.372
23,"1978-01-23 00:00:00","US Dollar",7.3725
24,"1978-01-24 00:00:00","US Dollar",7.3725
25,"1978-01-25 00:00:00","US Dollar",7.3725
26,"1978-01-26 00:00:00","US Dollar",7.3725
27,"1978-01-27 00:00:00","US Dollar",7.373
30,"1978-01-30 00:00:00","US Dollar",7.3725
33,"1978-02-02 00:00:00","US Dollar",7.3715
34,"1978-02-03 00:00:00","US Dollar",7.3715
37,"1978-02-06 00:00:00","US Dollar",7.3715
38,"1978-02-07 00:00:00","US Dollar",7.3715
39,"1978-02-08 00:00:00","US Dollar",7.3715
40,"1978-02-09 00:00:00","US Dollar",7.3715
44,"1978-02-13 00:00:00","US Dollar",7.371
45,"1978-02-14 00:00:00","US Dollar",7.371
46,"1978-02-15 00:00:00","US Dollar",7.371
47,"1978-02-16 00:00:00","US Dollar",7.371
48,"1978-02-17 00:00:00","US Dollar",7.371
51,"1978-02-20 00:00:00","US Dollar",7.371
52,"1978-02-21 00:00:00","US Dollar",7.371
54,"1978-02-23 00:00:00","US Dollar",7.372
55,"1978-02-24 00:00:00","US Dollar",7.3725
58,"1978-02-27 00:00:00","US Dollar",7.3725
59,"1978-02-28 00:00:00","US Dollar",7.3725
60,"1978-03-01 00:00:00","US Dollar",7.3725
61,"1978-03-02 00:00:00","US Dollar",7.373
62,"1978-03-03 00:00:00","US Dollar",7.373
67,"1978-03-08 00:00:00","US Dollar",7.373
68,"1978-03-09 00:00:00","US Dollar",7.373
69,"1978-03-10 00:00:00","US Dollar",7.373
72,"1978-03-13 00:00:00","US Dollar",7.374
73,"1978-03-14 00:00:00","US Dollar",7.3745
74,"1978-03-15 00:00:00","US Dollar",7.3745
75,"1978-03-16 00:00:00","US Dollar",7.375
76,"1978-03-17 00:00:00","US Dollar",7.375
79,"1978-03-20 00:00:00","US Dollar",7.3745
80,"1978-03-21 00:00:00","US Dollar",7.374
81,"1978-03-22 00:00:00","US Dollar",7.3735
86,"1978-03-27 00:00:00","US Dollar",7.3735
87,"1978-03-28 00:00:00","US Dollar",7.3735
88,"1978-03-29 00:00:00","US Dollar",7.373
89,"1978-03-30 00:00:00","US Dollar",7.373
90,"1978-03-31 00:00:00","US Dollar",7.372
93,"1978-04-03 00:00:00","US Dollar",7.3675
94,"1978-04-04 00:00:00","US Dollar",7.3675
95,"1978-04-05 00:00:00","US Dollar",7.367
101,"1978-04-11 00:00:00","US Dollar",7.367
102,"1978-04-12 00:00:00","US Dollar",7.367
103,"1978-04-13 00:00:00","US Dollar",7.367
104,"1978-04-14 00:00:00","US Dollar",7.3675
107,"1978-04-17 00:00:00","US Dollar",7.367
108,"1978-04-18 00:00:00","US Dollar",7.367
109,"1978-04-19 00:00:00","US Dollar",7.367
110,"1978-04-20 00:00:00","US Dollar",7.367
111,"1978-04-21 00:00:00","US Dollar",7.367
114,"1978-04-24 00:00:00","US Dollar",7.3665
115,"1978-04-25 00:00:00","US Dollar",7.3665
116,"1978-04-26 00:00:00","US Dollar",7.366
117,"1978-04-27 00:00:00","US Dollar",7.3655
118,"1978-04-28 00:00:00","US Dollar",7.365
122,"1978-05-02 00:00:00","US Dollar",7.365
123,"1978-05-03 00:00:00","US Dollar",7.365
124,"1978-05-04 00:00:00","US Dollar",7.365
125,"1978-05-05 00:00:00","US Dollar",7.3645
128,"1978-05-08 00:00:00","US Dollar",7.364
129,"1978-05-09 00:00:00","US Dollar",7.364
130,"1978-05-10 00:00:00","US Dollar",7.3635
131,"1978-05-11 00:00:00","US Dollar",7.3635
132,"1978-05-12 00:00:00","US Dollar",7.3635
135,"1978-05-15 00:00:00","US Dollar",7.364
136,"1978-05-16 00:00:00","US Dollar",7.3635
137,"1978-05-17 00:00:00","US Dollar",7.3635
138,"1978-05-18 00:00:00","US Dollar",7.363
139,"1978-05-19 00:00:00","US Dollar",7.3625
143,"1978-05-23 00:00:00","US Dollar",7.362
144,"1978-05-24 00:00:00","US Dollar",7.362
145,"1978-05-25 00:00:00","US Dollar",7.3625
146,"1978-05-26 00:00:00","US Dollar",7.363
149,"1978-05-29 00:00:00","US Dollar",7.3635
150,"1978-05-30 00:00:00","US Dollar",7.364
151,"1978-05-31 00:00:00","US Dollar",7.364
152,"1978-06-01 00:00:00","US Dollar",7.3645
153,"1978-06-02 00:00:00","US Dollar",7.3645
156,"1978-06-05 00:00:00","US Dollar",7.3645
157,"1978-06-06 00:00:00","US Dollar",7.3645
158,"1978-06-07 00:00:00","US Dollar",7.365
159,"1978-06-08 00:00:00","US Dollar",7.3655
160,"1978-06-09 00:00:00","US Dollar",7.366
164,"1978-06-13 00:00:00","US Dollar",7.365
165,"1978-06-14 00:00:00","US Dollar",7.3645
166,"1978-06-15 00:00:00","US Dollar",7.3645
167,"1978-06-16 00:00:00","US Dollar",7.364
170,"1978-06-19 00:00:00","US Dollar",7.364
171,"1978-06-20 00:00:00","US Dollar",7.363
172,"1978-06-21 00:00:00","US Dollar",7.362
174,"1978-06-23 00:00:00","US Dollar",7.3615
178,"1978-06-27 00:00:00","US Dollar",7.361
180,"1978-06-29 00:00:00","US Dollar",7.36
181,"1978-06-30 00:00:00","US Dollar",7.36
187,"1978-07-06 00:00:00","US Dollar",7.36
191,"1978-07-10 00:00:00","US Dollar",7.36
192,"1978-07-11 00:00:00","US Dollar",7.3605
193,"1978-07-12 00:00:00","US Dollar",7.3605
194,"1978-07-13 00:00:00","US Dollar",7.361
195,"1978-07-14 00:00:00","US Dollar",7.361
198,"1978-07-17 00:00:00","US Dollar",7.3615
199,"1978-07-18 00:00:00","US Dollar",7.3615
200,"1978-07-19 00:00:00","US Dollar",7.3615
201,"1978-07-20 00:00:00","US Dollar",7.361
202,"1978-07-21 00:00:00","US Dollar",7.361
205,"1978-07-24 00:00:00","US Dollar",7.361
206,"1978-07-25 00:00:00","US Dollar",7.3615
207,"1978-07-26 00:00:00","US Dollar",7.3615
208,"1978-07-27 00:00:00","US Dollar",7.3615
209,"1978-07-28 00:00:00","US Dollar",7.3615
212,"1978-07-31 00:00:00","US Dollar",7.361
213,"1978-08-01 00:00:00","US Dollar",7.362
214,"1978-08-02 00:00:00","US Dollar",7.362
215,"1978-08-03 00:00:00","US Dollar",7.361
216,"1978-08-04 00:00:00","US Dollar",7.3615
219,"1978-08-07 00:00:00","US Dollar",7.361
220,"1978-08-08 00:00:00","US Dollar",7.3615
221,"1978-08-09 00:00:00","US Dollar",7.3615
222,"1978-08-10 00:00:00","US Dollar",7.3615
223,"1978-08-11 00:00:00","US Dollar",7.362
226,"1978-08-14 00:00:00","US Dollar",7.362
227,"1978-08-15 00:00:00","US Dollar",7.362
228,"1978-08-16 00:00:00","US Dollar",7.3615
229,"1978-08-17 00:00:00","US Dollar",7.361
230,"1978-08-18 00:00:00","US Dollar",7.361
233,"1978-08-21 00:00:00","US Dollar",7.3615
234,"1978-08-22 00:00:00","US Dollar",7.3615
235,"1978-08-23 00:00:00","US Dollar",7.361
236,"1978-08-24 00:00:00","US Dollar",7.362
237,"1978-08-25 00:00:00","US Dollar",7.362
240,"1978-08-28 00:00:00","US Dollar",7.362
241,"1978-08-29 00:00:00","US Dollar",7.362
242,"1978-08-30 00:00:00","US Dollar",7.3625
243,"1978-08-31 00:00:00","US Dollar",7.3625
247,"1978-09-04 00:00:00","US Dollar",7.362
249,"1978-09-06 00:00:00","US Dollar",7.362
250,"1978-09-07 00:00:00","US Dollar",7.362
251,"1978-09-08 00:00:00","US Dollar",7.3615
255,"1978-09-12 00:00:00","US Dollar",7.3625
256,"1978-09-13 00:00:00","US Dollar",7.3625
257,"1978-09-14 00:00:00","US Dollar",7.362
258,"1978-09-15 00:00:00","US Dollar",7.3625
261,"1978-09-18 00:00:00","US Dollar",7.3625
262,"1978-09-19 00:00:00","US Dollar",7.362
263,"1978-09-20 00:00:00","US Dollar",7.3615
268,"1978-09-25 00:00:00","US Dollar",7.361
269,"1978-09-26 00:00:00","US Dollar",7.36
270,"1978-09-27 00:00:00","US Dollar",7.359
271,"1978-09-28 00:00:00","US Dollar",7.358
272,"1978-09-29 00:00:00","US Dollar",7.3575
275,"1978-10-02 00:00:00","US Dollar",7.357
276,"1978-10-03 00:00:00","US Dollar",7.3585
277,"1978-10-04 00:00:00","US Dollar",7.358
278,"1978-10-05 00:00:00","US Dollar",7.358
282,"1978-10-09 00:00:00","US Dollar",7.358
284,"1978-10-11 00:00:00","US Dollar",7.3585
285,"1978-10-12 00:00:00","US Dollar",7.359
286,"1978-10-13 00:00:00","US Dollar",7.36
289,"1978-10-16 00:00:00","US Dollar",7.3595
290,"1978-10-17 00:00:00","US Dollar",7.359
291,"1978-10-18 00:00:00","US Dollar",7.359
292,"1978-10-19 00:00:00","US Dollar",7.359
293,"1978-10-20 00:00:00","US Dollar",7.3595
296,"1978-10-23 00:00:00","US Dollar",7.3595
297,"1978-10-24 00:00:00","US Dollar",7.3595
298,"1978-10-25 00:00:00","US Dollar",7.36
303,"1978-10-30 00:00:00","US Dollar",7.361
306,"1978-11-02 00:00:00","US Dollar",7.3615
307,"1978-11-03 00:00:00","US Dollar",7.362
310,"1978-11-06 00:00:00","US Dollar",7.3625
311,"1978-11-07 00:00:00","US Dollar",7.3625
312,"1978-11-08 00:00:00","US Dollar",7.363
313,"1978-11-09 00:00:00","US Dollar",7.363
314,"1978-11-10 00:00:00","US Dollar",7.363
317,"1978-11-13 00:00:00","US Dollar",7.363
318,"1978-11-14 00:00:00","US Dollar",7.3635
319,"1978-11-15 00:00:00","US Dollar",7.3635
320,"1978-11-16 00:00:00","US Dollar",7.3645
321,"1978-11-17 00:00:00","US Dollar",7.365
324,"1978-11-20 00:00:00","US Dollar",7.3655
325,"1978-11-21 00:00:00","US Dollar",7.366
326,"1978-11-22 00:00:00","US Dollar",7.3675
327,"1978-11-23 00:00:00","US Dollar",7.3685
328,"1978-11-24 00:00:00","US Dollar",7.369
331,"1978-11-27 00:00:00","US Dollar",7.369
332,"1978-11-28 00:00:00","US Dollar",7.369
333,"1978-11-29 00:00:00","US Dollar",7.369
335,"1978-12-01 00:00:00","US Dollar",7.369
338,"1978-12-04 00:00:00","US Dollar",7.369
339,"1978-12-05 00:00:00","US Dollar",7.369
341,"1978-12-07 00:00:00","US Dollar",7.369
342,"1978-12-08 00:00:00","US Dollar",7.369
345,"1978-12-11 00:00:00","US Dollar",7.3695
347,"1978-12-13 00:00:00","US Dollar",7.3705
348,"1978-12-14 00:00:00","US Dollar",7.3705
349,"1978-12-15 00:00:00","US Dollar",7.371
352,"1978-12-18 00:00:00","US Dollar",7.3715
353,"1978-12-19 00:00:00","US Dollar",7.372
354,"1978-12-20 00:00:00","US Dollar",7.3725
355,"1978-12-21 00:00:00","US Dollar",7.373
356,"1978-12-22 00:00:00","US Dollar",7.373
360,"1978-12-26 00:00:00","US Dollar",7.373
361,"1978-12-27 00:00:00","US Dollar",7.374
362,"1978-12-28 00:00:00","US Dollar",7.3745
363,"1978-12-29 00:00:00","US Dollar",7.375
367,"1979-01-02 00:00:00","US Dollar",7.375
368,"1979-01-03 00:00:00","US Dollar",7.375
369,"1979-01-04 00:00:00","US Dollar",7.375
370,"1979-01-05 00:00:00","US Dollar",7.375
373,"1979-01-08 00:00:00","US Dollar",7.375
374,"1979-01-09 00:00:00","US Dollar",7.3755
375,"1979-01-10 00:00:00","US Dollar",7.376
376,"1979-01-11 00:00:00","US Dollar",7.3765
377,"1979-01-12 00:00:00","US Dollar",7.3765
380,"1979-01-15 00:00:00","US Dollar",7.3765
381,"1979-01-16 00:00:00","US Dollar",7.377
382,"1979-01-17 00:00:00","US Dollar",7.3765
383,"1979-01-18 00:00:00","US Dollar",7.3765
384,"1979-01-19 00:00:00","US Dollar",7.3765
387,"1979-01-22 00:00:00","US Dollar",7.3765
388,"1979-01-23 00:00:00","US Dollar",7.377
389,"1979-01-24 00:00:00","US Dollar",7.3765
390,"1979-01-25 00:00:00","US Dollar",7.3765
391,"1979-01-26 00:00:00","US Dollar",7.3765
394,"1979-01-29 00:00:00","US Dollar",7.377
395,"1979-01-30 00:00:00","US Dollar",7.377
396,"1979-01-31 00:00:00","US Dollar",7.377
397,"1979-02-01 00:00:00","US Dollar",7.3765
398,"1979-02-02 00:00:00","US Dollar",7.3765
401,"1979-02-05 00:00:00","US Dollar",7.3765
402,"1979-02-06 00:00:00","US Dollar",7.3765
403,"1979-02-07 00:00:00","US Dollar",7.3765
404,"1979-02-08 00:00:00","US Dollar",7.376
405,"1979-02-09 00:00:00","US Dollar",7.3765
408,"1979-02-12 00:00:00","US Dollar",7.3765
409,"1979-02-13 00:00:00","US Dollar",7.377
410,"1979-02-14 00:00:00","US Dollar",7.377
411,"1979-02-15 00:00:00","US Dollar",7.377
412,"1979-02-16 00:00:00","US Dollar",7.377
415,"1979-02-19 00:00:00","US Dollar",7.377
416,"1979-02-20 00:00:00","US Dollar",7.377
417,"1979-02-21 00:00:00","US Dollar",7.377
418,"1979-02-22 00:00:00","US Dollar",7.377
419,"1979-02-23 00:00:00","US Dollar",7.377
422,"1979-02-26 00:00:00","US Dollar",7.377
423,"1979-02-27 00:00:00","US Dollar",7.3765
424,"1979-02-28 00:00:00","US Dollar",7.3765
425,"1979-03-01 00:00:00","US Dollar",7.3765
426,"1979-03-02 00:00:00","US Dollar",7.3765
429,"1979-03-05 00:00:00","US Dollar",7.3765
430,"1979-03-06 00:00:00","US Dollar",7.3765
431,"1979-03-07 00:00:00","US Dollar",7.3765
432,"1979-03-08 00:00:00","US Dollar",7.3765
433,"1979-03-09 00:00:00","US Dollar",7.3765
436,"1979-03-12 00:00:00","US Dollar",7.377
437,"1979-03-13 00:00:00","US Dollar",7.3775
438,"1979-03-14 00:00:00","US Dollar",7.378
439,"1979-03-15 00:00:00","US Dollar",7.378
440,"1979-03-16 00:00:00","US Dollar",7.378
443,"1979-03-19 00:00:00","US Dollar",7.378
444,"1979-03-20 00:00:00","US Dollar",7.378
445,"1979-03-21 00:00:00","US Dollar",7.378
446,"1979-03-22 00:00:00","US Dollar",7.378
447,"1979-03-23 00:00:00","US Dollar",7.378
450,"1979-03-26 00:00:00","US Dollar",7.378
451,"1979-03-27 00:00:00","US Dollar",7.3785
452,"1979-03-28 00:00:00","US Dollar",7.379
453,"1979-03-29 00:00:00","US Dollar",7.3795
454,"1979-03-30 00:00:00","US Dollar",7.38
457,"1979-04-02 00:00:00","US Dollar",7.3805
458,"1979-04-03 00:00:00","US Dollar",7.3805
459,"1979-04-04 00:00:00","US Dollar",7.38
460,"1979-04-05 00:00:00","US Dollar",7.38
461,"1979-04-06 00:00:00","US Dollar",7.38
465,"1979-04-10 00:00:00","US Dollar",7.38
466,"1979-04-11 00:00:00","US Dollar",7.38
471,"1979-04-16 00:00:00","US Dollar",7.38
472,"1979-04-17 00:00:00","US Dollar",7.38
473,"1979-04-18 00:00:00","US Dollar",7.38
474,"1979-04-19 00:00:00","US Dollar",7.38
475,"1979-04-20 00:00:00","US Dollar",7.3795
478,"1979-04-23 00:00:00","US Dollar",7.379
479,"1979-04-24 00:00:00","US Dollar",7.3785
480,"1979-04-25 00:00:00","US Dollar",7.3785
481,"1979-04-26 00:00:00","US Dollar",7.379
482,"1979-04-27 00:00:00","US Dollar",7.379
485,"1979-04-30 00:00:00","US Dollar",7.379
487,"1979-05-02 00:00:00","US Dollar",7.3785
488,"1979-05-03 00:00:00","US Dollar",7.3785
489,"1979-05-04 00:00:00","US Dollar",7.3785
492,"1979-05-07 00:00:00","US Dollar",7.378
493,"1979-05-08 00:00:00","US Dollar",7.378
494,"1979-05-09 00:00:00","US Dollar",7.378
495,"1979-05-10 00:00:00","US Dollar",7.378
496,"1979-05-11 00:00:00","US Dollar",7.378
499,"1979-05-14 00:00:00","US Dollar",7.3785
500,"1979-05-15 00:00:00","US Dollar",7.3785
501,"1979-05-16 00:00:00","US Dollar",7.3785
502,"1979-05-17 00:00:00","US Dollar",7.3785
503,"1979-05-18 00:00:00","US Dollar",7.379
506,"1979-05-21 00:00:00","US Dollar",7.379
507,"1979-05-22 00:00:00","US Dollar",7.379
508,"1979-05-23 00:00:00","US Dollar",7.379
509,"1979-05-24 00:00:00","US Dollar",7.3785
510,"1979-05-25 00:00:00","US Dollar",7.3785
513,"1979-05-28 00:00:00","US Dollar",7.378
514,"1979-05-29 00:00:00","US Dollar",7.378
515,"1979-05-30 00:00:00","US Dollar",7.3775
516,"1979-05-31 00:00:00","US Dollar",7.377
517,"1979-06-01 00:00:00","US Dollar",7.377
520,"1979-06-04 00:00:00","US Dollar",7.3775
521,"1979-06-05 00:00:00","US Dollar",7.377
522,"1979-06-06 00:00:00","US Dollar",7.377
523,"1979-06-07 00:00:00","US Dollar",7.377
524,"1979-06-08 00:00:00","US Dollar",7.377
527,"1979-06-11 00:00:00","US Dollar",7.377
529,"1979-06-13 00:00:00","US Dollar",7.377
